Comments,Label
Luis suarez cost Ghanaians the world cup semi final because he knew he was going to lose.Ghana could have even gone to the final and beat spain,Against
"I remember at school at the time, people was calling him everything under the sun. I understood that he did what he had to do. Growing is realising that any of us in that position in the world cup would have done the exact same thing",Neutral
This man clearly was often mentally unstable,Irrelevant
Stuff like that prove that morality always loses and nice guys always finish last,Against
Suarez speaking as if Uruguay won that world cup they didn't even get third place lol,Irrelevant
He will never step foot in Ghana,Irrelevant
By apolosing he would look stupid because players do worst than that I saw goalkeepers attack players and break there foot already to avoid them from scoring,Neutral
Like how is this NOT smart play? Players sometimes end up injuring players in the penalty area to defend a goal. This is why the penalty exists. A team can defend a goal however the hell they want to. It's your job to score the penalty. You missing a penalty means you suck,Favor
Hand of Satan :D,Favor
"The rules should get changed at that point even if it doesn’t happen often. If a ball gets stopped on the line illegally the goal should count.
In basketball it’s similar. If a player stops the ball going to the basket and already being in a downfall it counts as 2 or 3 points immediately.",Neutral
"Dont play football at all, but what he did was perfectly fine in my opinion, if there is no rule to punish this harder: Hate the game not the player",Favor
Where is the full interview?????🙏🙏🙏,Irrelevant
"Win at all costs. Isn’t that the true spirit of competition? I don’t blame Suarez, cuz I would have done the same thing.",Favor
Suarez is such a g 😂,Favor
Africans cry somewhere else,Irrelevant
"At the same time I am proud of Suarez, but sad that its with Ghana. I would like it happend with some top team, for whom semi-finals would not be that big dream, but popular sad story they lost😅",Neutral
Ghana fans call the handball unsportsmanlike but when they see him crying when Uruguay gets knocked out they make fun of him. Stupid logic.,Against
Hate this guy,Against
"alright. its cheating, and he was punished for it. but most of us would've done the same thing",Neutral
I just love Luis Suarez with all his behaviors i don't know why 😂😂😂😂,Favor
South American passion,Irrelevant
"""The Ghana player missing the penalty is not my fault"" 🔥💪👑",Favor
I would have done the same lol,Neutral
Respect the handball as much as a last man tackle to save a goal. Ive seen plenty of goalies and defenders foul on purpose to save a goal and its no different that what Suarez did,Favor
He had no choice.   A chance vs losing the game.   It’s a no brainer.,Favor
It's a world cup I'd do the same,Favor
😭😭😭😭 Ghana should have won 😢 Uruguay suck 😡,Against
How can someone pass out while celebrating😂😂,Irrelevant
If it was Jorge Fucile that saved (the other defender on the line who also tried handballing it) most people probably wouldn't blame him it's just cuz people don't like suarez,Neutral
What a despicable excuse for a  man,Against
"The hands never bothered me as much as the bite. The hands, I thought, were an interesting take on a way to play with the rules of the game, a risk/reward calculation.",Neutral
"He did it, he got punished for it the , Ghana was given a penalty all by the book maybe the ghanaian player should have scored the penalty",Neutral
No mordi a nadie jajajja,Neutral
"Suarez would even bite for his team, let alone handball",Favor
what's the other person's name??,Irrelevant
"That hand was disgusting. So anti fair play. He blocked a goal that was already done.
Anybody can miss a penalty. Penalty was not a good compensation",Against
tbh there is nothing to explain,Neutral
They way he celebrate missed penalty..🤣,Irrelevant
"Do what you gotta do, respect suarez MORE for this",Favor
Cheating is cheating. End of.,Against
"I remember getting booed because I said that was. Genius 
And looking back he wasn't the only one reaching to hand ball that goal
 I respected this then and now 
 A never give up mentality",Favor
"As a sport fan i hated it. Really wanted to Ghana go trough, but as someone who plays sports i understand what he did.",Neutral
They just don’t make players with the same passion as Suarez,Favor
Damn he's a psychopath,Against
That’s what you’ve got to do put yourself on the line for you team,Favor
Why his voice looks like goatjo,Irrelevant
MOTM : Luis Suarez's Hand 😂,Favor
"Never got the outcry for this
Scummy? Yes
But this is no different to a tactical foul",Neutral
One of the best save ever.....✨✨✨🇬🇷,Favor
Hakimi missed a pen against south africa just like this,Irrelevant
Suarez should have been disbarred from any further official football matches because of his actions. It was the most unsportsmanlike behavior since 1986's world cup match between ENG and ARG,Against
What an ingenious cheater😂,Favor
Who's here after Suarez announced his retirement? 😢,Irrelevant
"He's announced his international retirement, streets will NEVER FORGET....",Irrelevant
What is the name of that goal keeper,Irrelevant
I watch after his retirement anouncment  on 3/9/ 2024 who  watch this video now,Irrelevant
